LOINC_NUM	SYSTEM	SCALE_TYP	SOURCE	SURVEY_QUEST_SRC	UNITSREQUIRED	SHORTNAME	EXAMPLE_UCUM_UNITS
14310-7	Urine	Ord	KP			PCP Ur Ql Scn>25 ng/mL	
14311-5	Urine	Ord	KP			PCP Ur Ql Cfm>20 ng/mL	
14312-3	Urine	Ord	KP			THC Ur Ql Scn>50 ng/mL	
14313-1	Urine	Qn	KP		Y	THC Ur Cfm-mCnc	
14314-9	Urine	Ord	KP			BZE Ur Ql Scn	
14315-6	Urine	Ord	KP			BZE Ur Ql Cfm	
1431-6	Ser/Plas	Qn	DE		Y	Cortis 5M p 1 ug/kg CRH IV SerPl-mCnc	
14316-4	Urine	Ord	KP			Benzodiaz Ur Ql Scn	
14317-2	Genital	Nom	KP			Wet Prep Genital	
14318-0	Cvx	Nom	KP			Wet Prep Cervix	
14319-8	Vag	Nom	KP			Wet Prep Vag	
14320-6	Urine	Nom	KP			Deprecated Bacteria Ur Cult @1:100	
14321-4	CSF	Ord	KP			Haem influ B Ag CSF Ql LA	
14322-2	CSF	Ord	KP			S pneum Ag CSF Ql LA	
14323-0	CSF	Ord	KP			Gp B Strep Ag CSF Ql LA	
1432-4	Ser/Plas	Qn	AT		Y	Cortis 72H p 2 mg Dex SerPl-mCnc	
14324-8	CSF	Ord	KP			E coli K1 Ag CSF Ql LA	
14325-5	XXX	Nom	KP			Bacteria XXX Envir Cult	
14326-3	Stool	Qn	KP		Y	Eosinophil NFr Stl Manual	%
14327-1	Sputum	Ord	KP			Squamous Spt Ql Micro	
14328-9	Sputum	Ord	KP			WBC Spt Ql Micro	
14329-7	Sputum	Ord	KP			Mucous Threads Spt Ql Micro	
14330-5	Stool	Qn	KP		Y	Polys NFr Stl Manual	%
14331-3	Stool	Qn	KP		Y	RBC Stl Manual-aCnc	
1433-2	Ser/Plas	Qn	AT		Y	Cortis 72H p 500 ug Dex SerPl-mCnc	
14332-1	Isolate	OrdQn	KP			PAS Islt MIC	
14333-9	Urine	Ord	KP			Lead 24H Ur Ql	
14334-7	Ser/Plas	Qn	KP		Y	Lithium SerPl-sCnc	meq/L
14335-4	Amnio fld	Qn	KP		Y	OD Amn Spect	
14336-2	Ser/Plas	Qn	KP		Y	Ethanol SerPl GC-mCnc	mg/dL
14337-0	Ser/Plas	Qn	KP		Y	Phenytoin Total/Free SerPl-mRto	
14338-8	Ser/Plas	Qn	KP		Y	Prealb SerPl-mCnc	g/dL
14339-6	CSF	Qn	KP		Y	IgG MFr CSF	%
1434-0	Ser/Plas	Qn	AT		Y	Cortis 8H p 1 mg Dex SerPl-mCnc	
14340-4	Ser/Plas	Nom	KP			Gammopathy SerPl Elph-Imp	
14341-2	Urine	Qn	KP		Y	Globulin 24H MFr Ur Elph	%
14342-0	Urine	Qn	KP			Deprecated Catechol/creat Ur-mRto	ug/g{creat}
14343-8	Periton fld	Qn	KP		Y	Eosinophil NFr Prt Manual	%
14344-6	Plr fld	Qn	KP		Y	Eosinophil NFr Plr Manual	%
14345-3	Amnio fld	Qn	KP			Sp Gr Amn Refractometry	
14346-1	CSF	Qn	KP			Sp Gr CSF Refractometry	
14347-9	Gast fld	Qn	KP			Sp Gr Gast Refractometry	
14348-7	Periton fld	Qn	KP			Sp Gr Prt Refractometry	
14349-5	Plr fld	Qn	KP			Sp Gr Plr Refractometry	
14350-3	Synv fld	Qn	KP			Sp Gr Snv Refractometry	
14351-1	Stool	Qn	KP			Sp Gr Stl Refractometry	
14352-9	Water	Qn	KP			Sp Gr Wat Refractometry	
14353-7	Plr fld	Nom	KP			Acid fast Mod Kiny Stn Plr	
14354-5	Wound	Nom	KP			Acid fast Mod Kiny Stn Wnd	
14355-2	Cvx	Nom	KP			KOH Prep Cervix	
14356-0	Vag	Nom	KP			KOH Prep Vag	
1435-7	Ser/Plas	Qn	AT		Y	Cortis 8H p 2 mg Dex SerPl-mCnc	
14357-8	CSF	Nom	KP			Gram Stn CSF	
14358-6	Asp	Nom	KP			Gram Stn Aspirate	
14359-4	Periton fld	Nom	KP			Gram Stn Prt	
14360-2	Plr fld	Nom	KP			Gram Stn Plr	
14361-0	Vag	Nom	KP			Gram Stn Vag	
14362-8	Thrt	Nom	KP			Gram Stn Throat	
14363-6	Synv fld	Nom	KP			Gram Stn Snv	
14364-4	Eye	Nom	KP			Gram Stn Eye	
1436-5	Ser/Plas	Qn	AT		Y	Cortis 8H p 30 mg/kg MTP PO SerPl-mCnc	
14365-1	Ear	Nom	KP			Gram Stn Ear	
14366-9	Cvx	Ord	KP			T vaginalis Cervix Ql Wet Prep	
14367-7	Vag	Ord	KP			T vaginalis Vag Ql Wet Prep	
14368-5	Urethra	Ord	KP			T vaginalis Urth Ql Wet Prep	
14369-3	Cvx	Ord	KP			Yeast Cervix Ql Wet Prep	
14370-1	Vag	Ord	KP			Yeast Vag Ql Wet Prep	
14371-9	Urethra	Ord	KP			Yeast Urth Ql Wet Prep	
14372-7	Gast fld	Qn	KP		Y	RBC # Gast Manual	
1437-3	Ser/Plas	Qn	AT		Y	Cortis 8H p 500 ug Dex SerPl-mCnc	
14373-5	Gast fld	Qn	KP		Y	WBC # Gast Manual	
14374-3	Plr fld	Qn	KP		Y	Polys NFr Plr Manual	%
14375-0	Periton fld	Qn	KP		Y	Polys NFr Prt Manual	%
14376-8	Synv fld	Qn	KP		Y	Polys NFr Snv Manual	%
14377-6	Semen	Qn	KP		Y	Polys NFr Smn Manual	%
14378-4	Urine	Qn	KP		Y	Polys NFr Ur Manual	%
14379-2	Gast fld	Qn	KP		Y	Polys NFr Gast Manual	%
143-8	Isolate+Ser	Qn	SH			Ceftriaxone Titr SBT	{titer}
14380-0	Plr fld	Qn	KP		Y	Mononuc Cells NFr Plr Manual	%
1438-1	Ser/Plas	Qn	DE		Y	Cortis 8H p 40 ug ACTH IM SerPl-mCnc	
14381-8	Periton fld	Qn	KP		Y	Mononuc Cells NFr Prt Manual	%
14382-6	Synv fld	Qn	KP		Y	Mononuc Cells NFr Snv Manual	%
14383-4	Semen	Qn	KP		Y	Mononuc Cells NFr Smn Manual	%
14384-2	Urine sed	Qn	KP		Y	Mononuc Cells NFr UrnS Manual	%
14385-9	Gast fld	Qn	KP		Y	Mononuc Cells NFr Gast Manual	%
14386-7	Gast fld	Qn	KP		Y	Glucose Gast-mCnc	mg/dL
14387-5	Gast fld	Qn	KP		Y	Prot Gast-mCnc	g/dL
14388-3	Synv fld	Qn	KP		Y	Amylase Snv-cCnc	U/L
14389-1	CSF	Qn	KP		Y	Amylase CSF-cCnc	
14390-9	Dial fld	Qn	KP		Y	Amylase Dial fld-cCnc	
14391-7	Gast fld	Qn	KP		Y	Amylase Gast-cCnc	
14392-5	Amnio fld	Qn	KP		Y	Amylase Amn-cCnc	
14393-3	Amnio fld	Qn	KP		Y	Urea nit Amn-mCnc	mg/dL
14394-1	Plr fld	Qn	KP		Y	Urea nit Plr-mCnc	mg/dL
14395-8	Periton fld	Qn	KP			Deprecated Urea Nit Prt-mCnc	
14396-6	Synv fld	Qn	KP		Y	Urea nit Snv-mCnc	mg/dL
14397-4	Gast fld	Qn	KP		Y	Urea nit Gast-mCnc	mg/dL
14398-2	CSF	Qn	KP		Y	Creat CSF-mCnc	mg/dL
1439-9	Ser/Plas	Qn	DE		Y	Cortis 9.5H p 8 mg Dex SerPl-mCnc	
14399-0	Plr fld	Qn	KP		Y	Creat Plr-mCnc	mg/dL
14400-6	Periton fld	Qn	KP			Deprecated Creat Prt-mCnc	mg/dL
14401-4	Synv fld	Qn	KP		Y	Creat Snv-mCnc	mg/dL
14402-2	Gast fld	Qn	KP		Y	Creat Gast-mCnc	mg/dL
14403-0	Gast fld	Qn	KP		Y	LDH Gast-cCnc	
14404-8	Plr fld	Qn	KP		Y	Phosphate Plr-mCnc	mg/dL
14405-5	Periton fld	Qn	KP		Y	Phosphate Prt-mCnc	mg/dL
14406-3	Synv fld	Qn	KP		Y	Phosphate Snv-mCnc	mg/dL
1440-7	Ser/Plas	Qn	DE		Y	Cortis 9H p 1 mg Dex SerPl-mCnc	
14407-1	Gast fld	Qn	KP		Y	Phosphate Gast-mCnc	mg/dL
14408-9	Amnio fld	Qn	KP		Y	Phosphate Amn-mCnc	mg/dL
14409-7	Plr fld	Qn	KP		Y	AST Plr-cCnc	U/L
14410-5	Periton fld	Qn	KP		Y	AST Prt-cCnc	U/L
14411-3	Synv fld	Qn	KP		Y	AST Snv-cCnc	U/L
14412-1	Gast fld	Qn	KP		Y	AST Gast-cCnc	U/L
14413-9	Urine	Qn	KP		Y	AST Ur-cCnc	U/L
14414-7	Dial fld	Qn	KP		Y	AST Dial fld-cCnc	U/L
1441-5	Ser/Plas	Qn	DE		Y	Cortis 9H p 3 g MTP PO ON SerPl-mCnc	
14415-4	Amnio fld	Qn	KP		Y	Calcium Amn-sCnc	
14416-2	Plr fld	Qn	KP		Y	Calcium Plr-sCnc	
14417-0	Periton fld	Qn	KP		Y	Calcium Prt-sCnc	
14418-8	Synv fld	Qn	KP		Y	Calcium Snv-sCnc	
14419-6	Gast fld	Qn	KP		Y	Calcium Gast-sCnc	
14420-4	Dial fld	Qn	KP		Y	Bilirub Dial fld-mCnc	mg/dL
14421-2	Plr fld	Qn	KP		Y	Bilirub Plr-mCnc	mg/dL
14422-0	Periton fld	Qn	KP		Y	Bilirub Prt-mCnc	mg/dL
1442-3	Ser/Plas	Qn	DE		Y	Cortis 9H p 8 mg Dex SerPl-mCnc	
14423-8	Synv fld	Qn	KP		Y	Bilirub Snv-mCnc	mg/dL
14424-6	Gast fld	Qn	KP		Y	Bilirub Gast-mCnc	mg/dL
14425-3	Amnio fld	Qn	KP		Y	Globulin Amn-mCnc	
14426-1	CSF	Qn	KP		Y	Globulin CSF-mCnc	
14427-9	Plr fld	Qn	KP		Y	Globulin Plr-mCnc	
14428-7	Periton fld	Qn	KP		Y	Globulin Prt-mCnc	
14429-5	Semen	Qn	KP		Y	Globulin Smn-mCnc	
14430-3	Synv fld	Qn	KP		Y	Globulin Snv-mCnc	
1443-1	Ser/Plas	Qn	DE		Y	Cortis pre 1 ug/kg CRH IV SerPl-mCnc	
14431-1	Urine	Qn	KP		Y	Globulin Ur-mCnc	
14432-9	Amnio fld	Qn	KP		Y	Albumin/Glob Amn-mRto	
14433-7	CSF	Qn	KP		Y	Albumin/Glob CSF-mRto	
14434-5	Plr fld	Qn	KP		Y	Albumin/Glob Plr-mRto	
14435-2	Periton fld	Qn	KP		Y	Albumin/Glob Prt-mRto	
14436-0	Semen	Qn	KP		Y	Albumin/Glob Smn-mRto	
14437-8	Synv fld	Qn	KP		Y	Albumin/Glob Snv-mRto	
14438-6	Amnio fld	Qn	KP		Y	Cholest Amn-mCnc	
14439-4	CSF	Qn	KP		Y	Cholest CSF-mCnc	
14440-2	Plr fld	Qn	KP			Deprecated Cholest Plr-mCnc	
14441-0	Periton fld	Qn	KP		Y	Cholest Prt-mCnc	
14442-8	Semen	Qn	KP		Y	Cholest Smn-mCnc	
14443-6	Synv fld	Qn	KP		Y	Cholest Snv-mCnc	
14444-4	Urine	Qn	KP		Y	Cholest Ur-mCnc	
14445-1	Amnio fld	Qn	KP		Y	Trigl Amn-mCnc	
14446-9	CSF	Qn	KP		Y	Trigl CSF-mCnc	
14457-6	Urine	Nom	KP			Virus Ur Cult	
14458-4	Sputum	Nom	KP			Virus Spt Cult	
14459-2	Penis	Nom	KP			Virus Penis Cult	
144-6	Isolate	Qn	SH		Y	Cefuroxime Parenter Islt MLC	
14460-0	Urethra	Nom	KP			Virus Urth Cult	
14461-8	Bld	Ord	KP			C trach Bld Ql Cult	
14462-6	CSF	Ord	KP			C trach CSF Ql Cult	
14463-4	Cvx	Ord	KP			C trach Cervix Ql Cult	
1446-4	Ser/Plas	Qn	DE		Y	Cortis pre 3 g MTP PO ON SerPl-mCnc	
14464-2	Vag	Ord	KP			C trach Vag Ql Cult	
1447-2	Ser/Plas	Qn	DE		Y	Cortis pre 40 ug ACTH IM SerPl-mCnc	
14472-5	Urethra	Ord	KP			C trach Ag Urth Ql EIA	
14473-3	Penis	Ord	KP			C trach Ag Penis Ql EIA	
14474-1	Urine sed	Ord	KP			C trach Ag UrnS Ql EIA	
14475-8	Cvx	Nom	KP			Bacteria Cervix Aerobe Cult	
14476-6	Vag	Nom	KP			Deprecated Microorganism Vag Aerobe Cult	
14477-4	Urethra	Nom	KP			Bacteria Urth Aerobe Cult	
14478-2	Penis	Nom	KP			Bacteria Penis Aerobe Cult	
14479-0	Thrt	Nom	KP			Diphtheria Throat Cult	
1448-0	Ser/Plas	Qn	DE		Y	Cortis pre 500 ug Dex SerPl-mCnc	
14480-8	Sputum	Nom	KP			Diphtheria Spt Cult	
14481-6	Nose	Nom	KP			Diphtheria Nose Cult	
14482-4	Skin	Nom	KP			Diphtheria Skin Cult	
14483-2	Bronchial	Nom	KP			Diphtheria Bronch Cult	
14484-0	Cvx	Ord	KP			Mycoplas+Ureoplas Cervix Ql Cult	
14485-7	Vag	Ord	KP			Mycoplas+Ureoplas Vag Ql Cult	
14486-5	Penis	Ord	KP			Mycoplas+Ureoplas Penis Ql Cult	
14487-3	Urethra	Ord	KP			Mycoplas+Ureoplas Urth Ql Cult	
14488-1	CSF	Nom	KP			Virus CSF IF	
14489-9	Bld	Nom	KP			Virus Bld IF	
14490-7	Semen	Nom	KP			Virus Smn IF	
14491-5	Thrt	Nom	KP			Virus Throat IF	
14492-3	Eye	Nom	KP			Virus Eye IF	
14493-1	Cvx	Nom	KP			Virus Cervix IF	
14494-9	Vag	Nom	KP			Virus Vag IF	
14495-6	Urine sed	Nom	KP			Virus UrnS IF	
14496-4	Sputum	Nom	KP			Virus Spt IF	
14497-2	Penis	Nom	KP			Virus Penis IF	
1449-8	Ser/Plas	Qn	DE		Y	Cortis pre 8 mg Dex SerPl-mCnc	
14498-0	Urethra	Nom	KP			Virus Urth IF	
14499-8	Cvx	Ord	KP			HPV Ag Cervix Ql	
14500-3	Vag	Ord	KP			HPV Ag Vag Ql	
14501-1	Penis	Ord	KP			HPV Ag Penis Ql	
14502-9	Urethra	Ord	KP			HPV Ag Urth Ql	
14503-7	Cvx	Ord	KP			HPV16+18 Ag Cervix Ql	
14504-5	Vag	Ord	KP			HPV16+18 Ag Vag Ql	
14505-2	Penis	Ord	KP			HPV16+18 Ag Penis Ql	
1450-6	Ser/Plas	Qn	DE		Y	Cortis pre 2 mg Dex high SerPl-mCnc	
1451-4	Ser/Plas	Qn	DE		Y	Cortis pre Ins IV SerPl-mCnc	
14514-4	Bld	Ord	KP			P jiroveci Ag Bld Ql IF	
14515-1	CSF	Ord	KP			P jiroveci Ag CSF Ql IF	
14516-9	Semen	Ord	KP			P jiroveci Ag Smn Ql IF	
14517-7	Stool	Ord	KP			P jiroveci Ag Stl Ql IF	
14518-5	Thrt	Ord	KP			P jiroveci Ag Throat Ql IF	
14519-3	Eye	Ord	KP			P jiroveci Ag Eye Ql IF	
14520-1	Nose	Ord	KP			P jiroveci Ag Nose Ql IF	
14521-9	Urine	Ord	KP			P jiroveci Ag Ur Ql IF	
1452-2	Urine	Qn	DE		Y	Creat 1D p 40 ug ACTH IM 24H Ur-mCnc	
14522-7	Bronchial	Ord	KP			P jiroveci Ag Bronch Ql IF	
14523-5	CSF	Ord	KP			RUBV Ag CSF Ql IF	
14524-3	Thrt	Ord	KP			RUBV Ag Throat Ql IF	
14525-0	Skin	Ord	KP			RUBV Ag Skin Ql IF	
14526-8	Eye	Ord	KP			RUBV Ag Eye Ql IF	
14527-6	Nose	Ord	KP			RUBV Ag Nose Ql IF	
14528-4	Sputum	Ord	KP			RUBV Ag Spt Ql IF	
14529-2	Cvx	Ord	KP			RUBV Ag Cervix Ql IF	
145-3	Isolate	OrdQn	SH			Cefuroxime Parenter Islt MIC	
1453-0	Urine	Qn	DE		Y	Creat 2D p 40 ug ACTH IM 24H Ur-mCnc	
14530-0	Vag	Ord	KP			RUBV Ag Vag Ql IF	
14531-8	Urine sed	Ord	KP			RUBV Ag UrnS Ql IF	
14532-6	Penis	Ord	KP			RUBV Ag Penis Ql IF	
14533-4	Urethra	Ord	KP			RUBV Ag Urth Ql IF	
14534-2	CSF	Ord	KP			MeV Ag CSF Ql IF	
14535-9	Thrt	Ord	KP			MeV Ag Throat Ql IF	
14536-7	Skin	Ord	KP			MeV Ag Skin Ql IF	
14537-5	Eye	Ord	KP			MeV Ag Eye Ql IF	
14538-3	Nose	Ord	KP			MeV Ag Nose Ql IF	
14539-1	Sputum	Ord	KP			MeV Ag Spt Ql IF	
14540-9	Cvx	Ord	KP			MeV Ag Cervix Ql IF	
14541-7	Vag	Ord	KP			MeV Ag Vag Ql IF	
14542-5	Urine sed	Ord	KP			MeV Ag UrnS Ql IF	
14543-3	Penis	Ord	KP			MeV Ag Penis Ql IF	
14544-1	Urethra	Ord	KP			MeV Ag Urth Ql IF	
14545-8	CSF	Ord	KP			MuV Ag CSF Ql IF	
14546-6	Thrt	Ord	KP			MuV Ag Throat Ql IF	
14547-4	Skin	Ord	KP			MuV Ag Skin Ql IF	
1454-8	Urine	Qn	DE		Y	Creat 48H p 500 ug Dex 24H Ur-mCnc	
14548-2	Eye	Ord	KP			MuV Ag Eye Ql IF	
14549-0	Nose	Ord	KP			MuV Ag Nose Ql IF	
14550-8	Sputum	Ord	KP			MuV Ag Spt Ql IF	
14551-6	Cvx	Ord	KP			MuV Ag Cervix Ql IF	
14552-4	Vag	Ord	KP			MuV Ag Vag Ql IF	
14553-2	Urine sed	Ord	KP			MuV Ag UrnS Ql IF	
14554-0	Penis	Ord	KP			MuV Ag Penis Ql IF	
1455-5	Urine	Qn	DE		Y	Creat 48H p 2 mg Dex 24H Ur-mCnc	
14555-7	Urethra	Ord	KP			MuV Ag Urth Ql IF	
14556-5	Sputum	Ord	KP			M tb DNA Spt Ql PCR	
14557-3	Bronchial	Ord	KP			M tb DNA Bronch Ql PCR	
14558-1	Gast fld	Ord	KP			M tb DNA Gast Ql PCR	
14559-9	Plr fld	Ord	KP			M tb DNA Plr Ql PCR	
14560-7	Urine	Ord	KP			M tb DNA Ur Ql PCR	
14561-5	CSF	Ord	KP			M tb DNA CSF Ql PCR	
14562-3	Semen	Ord	KP			M tb DNA Smn Ql PCR	
1456-3	Urine	Qn	DE		Y	Creat 72H p 40 ug ACTH IM 24H Ur-mCnc	
14563-1	Stool	Ord	KP			Hemocult sp1 Stl Ql	
14564-9	Stool	Ord	KP			Hemocult sp2 Stl Ql	
14565-6	Stool	Ord	KP			Hemocult sp3 Stl Ql	
14566-4	Ser/Plas	Qn	OMH		Y	"1,25(OH)2D3 SerPl-sCnc"	pmol/L
14567-2	Ser/Plas	Qn	OMH		Y	11DC SerPl-sCnc	nmol/L
14568-0	Urine	Qn	OMH		Y	17OHCS 24H Ur-sRate	umol/d
14569-8	Ser/Plas	Qn	OMH		Y	17OHP SerPl-sCnc	nmol/L
14570-6	Urine	Qn	OMH		Y	17OHP Ur-sCnc	
1457-1	Urine	Qn	DE		Y	Creat pre 40 ug ACTH IM 24H Ur-mCnc	
14571-4	Urine	Qn	OMH		Y	17OHP 24H Ur-sRate	
14572-2	Urine	Qn	OMH		Y	17KS 24H Ur-sRate	umol/d
14573-0	Urine	Qn	OMH		Y	5OH-indoleacetate 24H Ur-sRate	umol/d
14574-8	Ser/Plas	Qn	OMH		Y	8OH-Amoxapine SerPl-sCnc	umol/L
14575-5	Plas/RBC	Nom	OMH			Bld gp Ab Invest PlasRBC-Imp	
14576-3	Plas/RBC	Nom	OMH			Bld gp Ab Invest PlasRBC Sr Rev-Imp	
14577-1	Bld^donor	Nom	OMH			ABO+Rh Gp Bld Donr	
14578-9	Bld^BPU	Nom	OMH			ABO Group Bld BPU	
14579-7	Bld^donor	Nom	OMH			ABO Group Bld Donr	
14580-5	Bld^newborn	Nom	OMH			ABO Group Bld NB	
14581-3	Ser/Plas	Qn	OMH		Y	Acetamin SerPl-sCnc	umol/L
14582-1	Ser/Plas	Qn	OMH		Y	Acetone SerPl-sCnc	mmol/L
14583-9	Gast fld	Qn	OMH		Y	Titratable Acidity Gast-mCnc	
14584-7	Urine	Qn	OMH		Y	cAMP 24H Ur-sRate	
14585-4	Urine	Qn	OMH		Y	Albumin/Creat Ur-sRto	
14586-2	Ser/Plas	Qn	OMH		Y	Aldost SerPl-sCnc	pmol/L
14587-0	Urine	Qn	OMH		Y	Aldost 24H Ur-sRate	nmol/(24.h)
14588-8	Ser/Plas	Nom	OMH			ALP Isos SerPl-Imp	
1458-9	Urine	Qn	DE		Y	Creat pre 500 ug Dex 24H Ur-mCnc	
14589-6	Ser/Plas	Nom	OMH			Amylase Isos SerPl-Imp	
1459-7	Urine	Qn	DE		Y	Creat pre 2 mg Dex high 24H Ur-mCnc	
14597-9	Ser/Plas	Qn	OMH		Y	Amitrip SerPl-sCnc	nmol/L
14598-7	Ser/Plas	Qn	OMH		Y	Amitrip+Nor SerPl-sCnc	umol/L
14599-5	Calculus	Ord	OMH			Ammonium Stone Ql	
14600-1	Ser/Plas	Qn	OMH		Y	Amoxapine SerPl-sCnc	umol/L
14601-9	Ser/Plas	Qn	OMH		Y	Amoxapine+8OH-Amox SerPl-sCnc	
14602-7	Ser/Plas	Qn	OMH			Deprecated Amoxapine+8OH-Amox SerPl-sCnc	umol/L
14603-5	Ser/Plas	Qn	OMH		Y	Androst SerPl-sCnc	nmol/L
14604-3	Ser/Plas^BPU	Nom	OMH			Bld gp Ab present SerPl BPU	
1460-5	Urine	Qn	AT		Y	Vit B12 p B12 24H Ur-mRate	
14605-0	Ser/Plas^donor	Nom	OMH			Bld gp Ab present SerPl Donr	
14606-8	Ser/Plas	Ord	OMH			Bld gp Ab Scn SerPl Ql Pwarm	
14607-6	Body fld	Ord	OMH			ANA Fld Ql	
14608-4	Plr fld	Ord	OMH			ANA Plr Ql	
14609-2	Periton fld	Ord	OMH			ANA Prt Ql	
146-1	Isolate	OrdQn	SH			Cefuroxime Parenter Islt KB	
14610-0	Synv fld	Ord	OMH			ANA Snv Ql	
14611-8	Ser	Nom	OMH			ANA Pat Ser-Imp	
14612-6	Pericard fld	Qn	OMH		Y	ANA Titr Pcar	{titer}
1461-3	Plas	Qn	DE		Y	Epineph 1H p 300 ug CLN PO Plas-mCnc	
14613-4	Body fld	Qn	OMH		Y	ANA Titr Fld	{titer}
14614-2	Plr fld	Qn	OMH		Y	ANA Titr Plr	{titer}
14615-9	Periton fld	Qn	OMH		Y	ANA Titr Prt	{titer}
14616-7	Synv fld	Qn	OMH		Y	ANA Titr Snv	{titer}
14617-5	Pericard fld	Nom	OMH			Appearance Pcar	
14618-3	Calculus	Nom	OMH			Appearance Stone	
14619-1	Plas	Nom	OMH			Appearance Plas	
14620-9	Plr fld	Nom	OMH			Appearance Plr	
1462-1	Plas	Qn	DE		Y	Epineph 2H p 300 ug CLN PO Plas-mCnc	
14621-7	Periton fld	Nom	OMH			Appearance Prt	
14622-5	Ser/Plas	Qn	OMH		Y	Vit C SerPl-sCnc	umol/L
14631-6	Ser/Plas	Qn	OMH		Y	Bilirub SerPl-sCnc	umol/L
14632-4	Bld	Nom	OMH			Deprecated Buffy coat Bld Smear-Imp	
14633-2	Ser/Plas	Qn	OMH		Y	C peptide SerPl-sCnc	pmol/L
14634-0	Ser/Plas	Qn	OMH		Y	CRP Titr SerPl	{titer}
14635-7	Ser/Plas	Qn	OMH		Y	25(OH)D3 SerPl-sCnc	nmol/L
14636-5	Calculus	Ord	OMH			Calcium Stone Ql	
14637-3	Urine	Qn	OMH		Y	Calcium 24H Ur-sRate	mmol/(24.h)
14638-1	Calculus	Nom	OMH			Stone Analysis-Imp	
1463-9	Plas	Qn	DE		Y	Epineph 3H p 300 ug CLN PO Plas-mCnc	
14639-9	Ser/Plas	Qn	OMH		Y	Carbamazepine SerPl-sCnc	umol/L
14640-7	Dial fld	Qn	OMH		Y	CO2 Dial fld-sCnc	mmol/L
14641-5	Calculus	Ord	OMH			Carbonate Stone Ql	
14642-3	Ser	Qn	OMH		Y	Carotene Ser-sCnc	umol/L
14643-1	Urine	Qn	OMH		Y	FCA 24H Ur-sRate	
14644-9	Gast fld	Ord	OMH			Chlorpromazine Gast Ql	
14645-6	Ser/Plas	Qn	OMH		Y	Chlorpromazine SerPl-sCnc	umol/L
14646-4	Ser/Plas	Qn	OMH		Y	HDLc SerPl-sCnc	mmol/L
1464-7	Plas	Qn	DE		Y	Epineph pre 300 ug CLN PO Plas-mCnc	
14647-2	Ser/Plas	Qn	OMH		Y	Cholest SerPl-sCnc	mmol/L
14648-0	Ser/Plas	Qn	OMH		Y	Chylo SerPl-sCnc	
14649-8	Gast fld	Ord	OMH			Cimetidine Gast Ql	
14650-6	Urine	Qn	OMH		Y	Citrate 24H Ur-sRate	mmol/(24.h)
14651-4	Ser/Plas	Qn	OMH		Y	Clobazam SerPl-sCnc	umol/L
14652-2	Ser/Plas	Qn	OMH		Y	Clomipramine SerPl-sCnc	nmol/L
14653-0	Urine	Qn	OMH		Y	Clomipramine Ur-sCnc	
1465-4	Plas	Qn	DE		Y	Epineph sup Plas-mCnc	
14654-8	Ser/Plas	Qn	OMH		Y	Clomipramine+Nor SerPl-sCnc	nmol/L
14655-5	Ser/Plas	Qn	OMH		Y	Clonazepam SerPl-sCnc	nmol/L
14656-3	Ser/Plas	Qn	OMH		Y	Clozapine SerPl-sCnc	nmol/L
14657-1	Ser/Plas	Qn	OMH		Y	Clozapine+Nor SerPl-sCnc	nmol/L
14658-9	Ser/Plas	Qn	OMH		Y	CA Titr SerPl	{titer}
14659-7	Urine	Qn	OMH			Deprecated Collect Duration Ur Qn	
14660-5	Periton fld	Nom	OMH			Color Prt	
14661-3	Pericard fld	Nom	OMH			Color Pcar	
1466-2	Ser/Plas	Qn	AT		Y	Deprecated FSH 1.5H p 100 g LH IV SerPl	ng/mL
14662-1	Plr fld	Nom	OMH			Color Plr	
14663-9	Semen	Nom	OMH			Deprecated Color Smn Visual	
14664-7	Synv fld	Nom	OMH			Color Snv	
14665-4	Ser/Plas	Qn	OMH		Y	Copper SerPl-sCnc	umol/L
14666-2	Urine	Qn	OMH		Y	Copper 24H Ur-sRate	nmol/(24.h)
14667-0	Ser/Plas	Qn	OMH		Y	Copro1 SerPl-sCnc	nmol/L
14668-8	Stool	Qn	OMH		Y	Copro1 Stl-sCnc	
14669-6	Urine	Qn	OMH		Y	Copro1 Ur-sCnc	
1467-0	Ser/Plas	Qn	DE		Y	FSH 1.5H p GnRH SerPl-mCnc	ng/mL
14670-4	Urine	Qn	OMH		Y	Copro1 SFr Ur	%
14671-2	Ser/Plas	Qn	OMH		Y	Copro3 SerPl-sCnc	nmol/L
14672-0	Stool	Qn	OMH		Y	Copro3 Stl-sCnc	
14673-8	Urine	Qn	OMH		Y	Copro3 Ur-sCnc	
14674-6	Plas	Qn	OMH		Y	ACTH Plas-sCnc	pmol/L
14675-3	Ser/Plas	Qn	OMH		Y	Cortis SerPl-sCnc	nmol/L
14676-1	Urine	Qn	OMH		Y	Cortis F 24H Ur-sRate	nmol/(24.h)
14677-9	Ser/Plas	Qn	OMH		Y	Cortis 24H p 500 ug Dex SerPl-sCnc	nmol/L
14678-7	Ser/Plas	Qn	OMH		Y	Cortis PM SerPl-sCnc	nmol/L
14689-4	Urine	Qn	OMH		Y	D-ALA 24H Ur-sRate	
14690-2	Ser/Plas	Qn	OMH		Y	Desalkylfluraz SerPl-sCnc	umol/L
14691-0	Ser/Plas	Qn	OMH		Y	Desipramine SerPl-sCnc	umol/L
14692-8	Urine	Qn	OMH		Y	Desipramine Ur-sCnc	
14693-6	Ser/Plas	Qn	OMH		Y	Norclobazam SerPl-sCnc	umol/L
